Price,Location,NumberOfRooms,square,Agency,floor
310 000,28 May m.,2 otaqlı,92 m²,Agentlik,7/17 mərtəbə
255 000,Xalqlar Dostluğu m.,4 otaqlı,105 m²,Agentlik,2/9 mərtəbə
184 000,Yeni Günəşli q.,3 otaqlı,80 m²,Agentlik,5/14 mərtəbə
205 000,Həzi Aslanov m.,2 otaqlı,85 m²,Agentlik,14/17 mərtəbə
100 000,Qəbələ,3 otaqlı,90 m²,,
899 000,Bilgəh q.,6 otaqlı,305 m²,Kompleks,
400 000,Şağan q.,4 otaqlı,156 m²,Agentlik,
135 000,Yeni Günəşli q.,3 otaqlı,70 m²,Agentlik,14/15 mərtəbə
1 150 000,Bilgəh q.,6 otaqlı,420 m²,Kompleks,
1 190 000,Bilgəh q.,6 otaqlı,435 m²,Kompleks,
378 000,Həzi Aslanov m.,4 otaqlı,146 m²,Agentlik,5/19 mərtəbə
253 000,Həzi Aslanov m.,3 otaqlı,108 m²,Agentlik,15/17 mərtəbə
1 500 000,Bilgəh q.,6 otaqlı,460 m²,Kompleks,
240 000,Həzi Aslanov m.,2 otaqlı,79 m²,Agentlik,15/18 mərtəbə
295 000,Qara Qarayev m.,2 otaqlı,106 m²,,6/17 mərtəbə
167 000,20 Yanvar m.,2 otaqlı,50 m²,,5/20 mərtəbə
74 000,Xırdalan,3 otaqlı,75 m²,,
157 000,İnşaatçılar m.,2 otaqlı,60 m²,Agentlik,5/5 mərtəbə
795 000,Ağ şəhər q.,4 otaqlı,185 m²,Agentlik,18/20 mərtəbə
880 000,Sahil q.,12 otaqlı,500 m²,,
195 000,Mərdəkan q.,3 otaqlı,95 m²,Agentlik,5/5 mərtəbə
170 000,Həzi Aslanov m.,2 otaqlı,70 m²,Agentlik,8/20 mərtəbə
375 000,Nizami m.,3 otaqlı,120 m²,Agentlik,8/20 mərtəbə
195 000,Həzi Aslanov m.,3 otaqlı,81 m²,Agentlik,12/17 mərtəbə
520 000,Mərdəkan q.,5 otaqlı,250 m²,Agentlik,
672 000,Mərdəkan q.,24 sot,,Agentlik,
1 500 000,Nizami m.,5 otaqlı,280 m²,,10/12 mərtəbə
278 000,Nəsimi r.,2 otaqlı,68 m²,Agentlik,9/14 mərtəbə
195 000,Azadlıq Prospekti m.,2 otaqlı,65.5 m²,,7/18 mərtəbə
325 000,Nəsimi r.,3 otaqlı,79 m²,Agentlik,9/14 mərtəbə
360 000,Elmlər Akademiyası m.,4 otaqlı,110 m²,,4/5 mərtəbə
170 000,Fatmayı q.,7 otaqlı,193 m²,,
291 117,Nardaran q.,2 otaqlı,59.1 m²,Kompleks,11/12 mərtəbə
160 000,Novxanı q.,4 otaqlı,280 m²,,
184 000,Yeni Yasamal q.,2 otaqlı,105 m²,Agentlik,11/12 mərtəbə
880 000,Həzi Aslanov q.,779 m²,,,
119 000,Novxanı q.,12 sot,,,
245 000,Mərdəkan q.,4 otaqlı,145 m²,Agentlik,
300 000,Nardaran q.,3 otaqlı,117 m²,Agentlik,1/6 mərtəbə
950 000,Nardaran q.,4 otaqlı,210 m²,Agentlik,7/7 mərtəbə
315 000,Nəsimi r.,2 otaqlı,97 m²,,8/18 mərtəbə
213 000,İnşaatçılar m.,3 otaqlı,106 m²,Agentlik,7/21 mərtəbə
290 000,28 May m.,3 otaqlı,144 m²,,5/18 mərtəbə
14 700,Xaçmaz,6 sot,,,
517 000,Elmlər Akademiyası m.,4 otaqlı,165 m²,,9/17 mərtəbə
146 500,Həzi Aslanov m.,2 otaqlı,65 m²,Agentlik,9/9 mərtəbə
230 000,Neftçilər m.,3 otaqlı,90 m²,Agentlik,4/9 mərtəbə
182 000,Əhmədli m.,3 otaqlı,80 m²,,5/9 mərtəbə
363 080,Nardaran q.,2 otaqlı,89 m²,Kompleks,7/7 mərtəbə
216 000,Bakıxanov q.,4 otaqlı,135 m²,Agentlik,11/20 mərtəbə
890 000,Ağ şəhər q.,3 otaqlı,127 m²,Agentlik,4/7 mərtəbə
296 000,Nəsimi r.,2 otaqlı,99 m²,Agentlik,5/16 mərtəbə
327 000,Yasamal q.,4 otaqlı,125 m²,Agentlik,3/12 mərtəbə
180 000,Həzi Aslanov m.,3 otaqlı,90 m²,Agentlik,6/9 mərtəbə
228 000,Yasamal r.,3 otaqlı,128 m²,Agentlik,13/16 mərtəbə
439 600,Nəriman Nərimanov m.,3 otaqlı,157 m²,Agentlik,10/17 mərtəbə
426 400,Ağ şəhər q.,2 otaqlı,82 m²,Agentlik,11/20 mərtəbə
123 000,Novxanı q.,4 otaqlı,130 m²,Agentlik,
208 000,Elmlər Akademiyası m.,2 otaqlı,52 m²,,5/5 mərtəbə
170 000,Qara Qarayev m.,1 otaqlı,62 m²,Agentlik,12/13 mərtəbə
215 000,Bakıxanov q.,4 otaqlı,140 m²,Agentlik,11/17 mərtəbə
175 000,Şüvəlan q.,10 sot,,Agentlik,
530 000,Nizami m.,3 otaqlı,153 m²,Agentlik,17/18 mərtəbə
433 000,8 Noyabr m.,4 otaqlı,160 m²,Agentlik,5/14 mərtəbə
210 000,Qara Qarayev m.,2 otaqlı,82.1 m²,Agentlik,11/13 mərtəbə
117 000,Türkan q.,3 otaqlı,150 m²,,
180 000,Elmlər Akademiyası m.,2 otaqlı,50 m²,Agentlik,2/5 mərtəbə
119 800,Masazır q.,2 otaqlı,70 m²,,4/11 mərtəbə
28 500,Xocəsən q.,4 sot,,,
205 000,Əhmədli m.,2 otaqlı,85 m²,Agentlik,14/17 mərtəbə
160 000,Sumqayıt,4 otaqlı,280 m²,Agentlik,
225 000,Elmlər Akademiyası m.,3 otaqlı,70 m²,Agentlik,4/5 mərtəbə
215 000,Həzi Aslanov m.,4 otaqlı,110 m²,,4/5 mərtəbə
150 000,Əhmədli m.,3 otaqlı,70 m²,Agentlik,1/9 mərtəbə
245 000,Həzi Aslanov m.,3 otaqlı,110 m²,Agentlik,11/19 mərtəbə
240 000,Həzi Aslanov m.,2 otaqlı,85 m²,,7/17 mərtəbə
1 300 000,Şüvəlan q.,5 otaqlı,400 m²,,
189 000,Azadlıq Prospekti m.,2 otaqlı,70 m²,,8/9 mərtəbə
644 000,Mərdəkan q.,30 sot,,,
463 000,Nizami m.,3 otaqlı,147 m²,Agentlik,9/15 mərtəbə
192 848,Nardaran q.,1 otaqlı,43.5 m²,Kompleks,7/8 mərtəbə
185 000,Xətai r.,4 otaqlı,75 m²,Agentlik,8/9 mərtəbə
178 000,İnşaatçılar m.,3 otaqlı,75 m²,,3/5 mərtəbə
289 000,Həzi Aslanov m.,3 otaqlı,90 m²,Agentlik,11/15 mərtəbə
5 500 000,Nərimanov r.,1822.3 m²,,Agentlik,
23 000,Şəki,22 sot,,,
93 800,Şüvəlan q.,3.5 sot,,Agentlik,
270 000,Elmlər Akademiyası m.,2 otaqlı,65 m²,Agentlik,12/22 mərtəbə
445 000,Buzovna q.,5 otaqlı,220 m²,,
250 000,Əhmədli m.,3 otaqlı,100 m²,Agentlik,9/16 mərtəbə
117 000,Memar Əcəmi m.,2 otaqlı,40 m²,,5/5 mərtəbə
480 000,Elmlər Akademiyası m.,4 otaqlı,171 m²,Agentlik,5/12 mərtəbə
238 000,Həzi Aslanov m.,2 otaqlı,84 m²,,6/17 mərtəbə
230 000,Nəsimi m.,3 otaqlı,85 m²,Agentlik,2/9 mərtəbə
26 000,Novxanı q.,2 sot,,,
337 000,Səbail r.,3 otaqlı,129 m²,Agentlik,3/16 mərtəbə
34 500,Xırdalan,2 otaqlı,48 m²,,
30 000,Novxanı q.,3 sot,,,
63 000,Xırdalan,3 otaqlı,100 m²,,
273 000,28 May m.,2 otaqlı,67 m²,Agentlik,3/17 mərtəbə
250 000,Elmlər Akademiyası m.,3 otaqlı,100 m²,Agentlik,2/5 mərtəbə
79 000,Xırdalan,2 otaqlı,79 m²,,4/11 mərtəbə
323 825,Nardaran q.,2 otaqlı,74.7 m²,Kompleks,2/9 mərtəbə
470 000,Görədil q.,6 otaqlı,300 m²,,
178 000,Həzi Aslanov m.,2 otaqlı,55 m²,Agentlik,3/15 mərtəbə
28 500,Novxanı q.,3 sot,,,
127 000,Xırdalan,3 otaqlı,67 m²,,1/16 mərtəbə
39 000,Novxanı q.,3 sot,,,
1 500 000,Nizami m.,5 otaqlı,280 m²,,10/12 mərtəbə
239 000,Badamdar q.,3 otaqlı,98 m²,Agentlik,5/16 mərtəbə
130 000,Nəriman Nərimanov m.,1 otaqlı,31 m²,Agentlik,4/5 mərtəbə
205 000,Xətai r.,3 otaqlı,92 m²,Agentlik,7/16 mərtəbə
450 000,Novxanı q.,5 otaqlı,600 m²,,
395 000,28 May m.,3 otaqlı,110 m²,Agentlik,11/17 mərtəbə
20 000,Novxanı q.,2 sot,,,
158 000,İnşaatçılar m.,2 otaqlı,65 m²,Agentlik,8/12 mərtəbə
258 000,28 May m.,2 otaqlı,90 m²,Agentlik,11/16 mərtəbə
650 000,Novxanı q.,5 otaqlı,300 m²,,
405 000,28 May m.,3 otaqlı,121.3 m²,Agentlik,9/17 mərtəbə
185 000,Fatmayı q.,6 otaqlı,300 m²,,
850 000,Novxanı q.,6 otaqlı,400 m²,,
149 500,Azadlıq Prospekti m.,2 otaqlı,50 m²,,7/17 mərtəbə
110 000,Sumqayıt,4 otaqlı,200 m²,,
530 000,28 May m.,4 otaqlı,190 m²,Agentlik,5/16 mərtəbə
289 000,Həzi Aslanov m.,3 otaqlı,91 m²,Agentlik,11/15 mərtəbə
322 000,Nəsimi r.,2 otaqlı,80 m²,Agentlik,8/16 mərtəbə
163 000,Biləcəri q.,5 otaqlı,220 m²,,
580 000,Şağan q.,6 otaqlı,375.6 m²,,
420 000,Nəsimi r.,3 otaqlı,170 m²,Agentlik,11/16 mərtəbə
255 000,Gənclik m.,3 otaqlı,80 m²,Agentlik,2/9 mərtəbə
2 800 000,Xırdalan,3016.1 m²,,Agentlik,
455 000,Gənclik m.,3 otaqlı,120 m²,Agentlik,14/17 mərtəbə
980 000,Bayıl q.,3 otaqlı,175 m²,Agentlik,13/18 mərtəbə
258 000,28 May m.,2 otaqlı,78 m²,Agentlik,14/17 mərtəbə
560 320,Nardaran q.,2 otaqlı,82.4 m²,Kompleks,2/13 mərtəbə
92 000,Binə q.,3 otaqlı,110 m²,,
187 000,Gənclik m.,2 otaqlı,48 m²,Agentlik,3/9 mərtəbə
141 000,Novxanı q.,4 otaqlı,200 m²,Agentlik,
165 000,Nəriman Nərimanov m.,2 otaqlı,45 m²,Agentlik,7/9 mərtəbə
147 000,Nəsimi m.,2 otaqlı,65 m²,Agentlik,9/9 mərtəbə
330 000,İçəri Şəhər m.,2 otaqlı,128 m²,Agentlik,4/5 mərtəbə
249 000,Həzi Aslanov m.,4 otaqlı,80 m²,,3/14 mərtəbə
233 000,Nizami m.,3 otaqlı,80 m²,,10/20 mərtəbə
166 000,28 May m.,2 otaqlı,60 m²,Agentlik,2/2 mərtəbə
200 000,Həzi Aslanov m.,3 otaqlı,82 m²,Agentlik,2/17 mərtəbə
360 000,Nərimanov r.,3 otaqlı,120 m²,Agentlik,6/12 mərtəbə
258 900,Elmlər Akademiyası m.,3 otaqlı,111 m²,Agentlik,3/5 mərtəbə
140 000,Sahil m.,2 otaqlı,45 m²,Agentlik,1/3 mərtəbə
240 000,Həzi Aslanov m.,2 otaqlı,85 m²,Agentlik,8/16 mərtəbə
265 000,Memar Əcəmi m.,80 m²,,,
134 000,Memar Əcəmi m.,2 otaqlı,48 m²,Agentlik,1/5 mərtəbə
330 000,Xətai r.,3 otaqlı,110 m²,Agentlik,12/13 mərtəbə
390 000,Bayıl q.,7 otaqlı,230 m²,Agentlik,5/6 mərtəbə
257 000,Həzi Aslanov m.,3 otaqlı,122 m²,Agentlik,5/17 mərtəbə
490 000,Nərimanov r.,3 otaqlı,129 m²,Agentlik,12/15 mərtəbə
145 000,Sea Breeze q.,1 otaqlı,32 m²,Agentlik,3/28 mərtəbə
194 000,Yeni Yasamal q.,3 otaqlı,97 m²,Agentlik,5/16 mərtəbə
720 000,Nəriman Nərimanov m.,6 otaqlı,235 m²,,
255 000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,Agentlik,14/19 mərtəbə
210 000,Nəsimi m.,3 otaqlı,80 m²,Agentlik,16/16 mərtəbə
250 000,Nəriman Nərimanov m.,3 otaqlı,100 m²,Agentlik,2/5 mərtəbə
300 000,Nəsimi m.,3 otaqlı,136 m²,Agentlik,9/16 mərtəbə
310 000,Sea Breeze q.,1 otaqlı,75 m²,,4/4 mərtəbə
330 000,Nəsimi r.,2 otaqlı,64 m²,Agentlik,8/17 mərtəbə
380 000,Mərdəkan q.,4 otaqlı,140 m²,Agentlik,
624 000,Ağ şəhər q.,3 otaqlı,147 m²,Agentlik,3/8 mərtəbə
447 150,Gənclik m.,3 otaqlı,135.5 m²,Agentlik,7/16 mərtəbə
205 000,Memar Əcəmi m.,3 otaqlı,80 m²,Agentlik,2/17 mərtəbə
164 000,Neftçilər m.,2 otaqlı,78 m²,Agentlik,4/17 mərtəbə
549 000,Sahil m.,3 otaqlı,150 m²,Agentlik,7/12 mərtəbə
165 000,Mərdəkan q.,5 sot,,Agentlik,
188 500,İnşaatçılar m.,3 otaqlı,70 m²,Agentlik,4/9 mərtəbə
178 000,Səbail r.,3 otaqlı,83 m²,Agentlik,1/6 mərtəbə
240 000,Nərimanov r.,3 otaqlı,100 m²,Agentlik,5/5 mərtəbə
335 000,Dərnəgül m.,3 otaqlı,105 m²,,9/11 mərtəbə
99 900,Məmmədli q.,2 otaqlı,74 m²,Kompleks,8/11 mərtəbə
150 000,Xətai r.,4 otaqlı,145 m²,Agentlik,
125 000,Xırdalan,2 otaqlı,55 m²,Agentlik,8/14 mərtəbə
167 000,Masazır q.,5 otaqlı,200 m²,Agentlik,
127 000,Sea Breeze q.,1 otaqlı,57 m²,,8/9 mərtəbə
400 000,8 Noyabr m.,3 otaqlı,148 m²,Agentlik,25/27 mərtəbə
308 618,Nardaran q.,2 otaqlı,62.6 m²,Kompleks,9/9 mərtəbə
160 000,Həzi Aslanov m.,2 otaqlı,55 m²,Agentlik,2/9 mərtəbə
295 200,Nizami m.,2 otaqlı,72 m²,,9/16 mərtəbə
1 416 000,Bayıl q.,4 otaqlı,236 m²,Agentlik,11/16 mərtəbə
215 000,Qara Qarayev m.,5 otaqlı,158 m²,,
140 000,Şüvəlan q.,4 otaqlı,150 m²,Agentlik,
285 000,Nizami m.,2 otaqlı,64 m²,Agentlik,8/16 mərtəbə
540 000,28 May m.,3 otaqlı,132.2 m²,,9/16 mərtəbə
500 000,Novxanı q.,19 otaqlı,700 m²,,
270 000,Əhmədli q.,2 otaqlı,88 m²,Agentlik,4/20 mərtəbə
185 000,Mərdəkan q.,3 otaqlı,110 m²,Agentlik,
135 000,Şüvəlan q.,3 otaqlı,90 m²,Agentlik,
399 000,8 Noyabr m.,3 otaqlı,140 m²,Agentlik,6/18 mərtəbə
255 000,Əhmədli q.,3 otaqlı,97 m²,Agentlik,11/20 mərtəbə
